sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-EW-A6SA-01	TCGA-EW-A6SA-01	Primary Tumor	0.967	0.55	1.18	-0.273	-5.072	-3.254	0.7854	0.3185	2.645	-0.4493	-0.05665	11.51	0.627	-0.5713
TCGA-BH-A1FJ-01	TCGA-BH-A1FJ-01	Primary Tumor	0.9658	2.107	0.1473	-0.4355	1.202	-0.2375	1.232	-0.3732	2.494	-0.3829	0.3706	9.421	0.5525	1.208
TCGA-AC-A5XS-01	TCGA-AC-A5XS-01	Primary Tumor	0.9429	-0.2294	0.01256	-0.2867	-4.102	0.3492	-1.034	-0.7368	-1.526	-0.6538	0.146	10.39	-0.07708	-0.7518
TCGA-5T-A9QA-01	TCGA-5T-A9QA-01	Primary Tumor	0.9387	0.7847	0.02386	1.371	1.523	2.552	-0.4243	0.1448	2.818	-0.1145	-0.506	10.26	0.3667	-0.2143
TCGA-E2-A1LB-01	TCGA-E2-A1LB-01	Primary Tumor	0.9385	-0.7569	0.07246	1.077	-0.3104	0.4613	0.2513	-0.1758	3.233	-0.3662	-0.04585	9.6	-1.237	-0.9105
TCGA-E2-A1L9-01	TCGA-E2-A1L9-01	Primary Tumor	0.9365	0.1615	-0.1228	0.2333	-0.5932	1.153	0.3319	-0.3588	2.242	-0.2754	0.576	9.532	0.01612	0.2442
TCGA-B6-A0X5-01	TCGA-B6-A0X5-01	Primary Tumor	0.9327	1.944	0.3755	-0.1724	4.112	6.66	0.8437	-0.1898	2.558	-0.5812	-3.48	9.572	0.1329	-0.01374
TCGA-D8-A27L-01	TCGA-D8-A27L-01	Primary Tumor	0.9193	0.6039	-0.265	-0.7285	-0.4631	1.299	0.9816	-0.1137	1.73	-0.04496	0.4412	9.965	0.2078	0.8334
TCGA-E2-A15H-01	TCGA-E2-A15H-01	Primary Tumor	0.9162	0.1984	0.1372	-0.2388	-3.52	-0.2103	0.5065	0.2324	2.458	-0.541	0.5235	9.426	0.3481	-0.1656
TCGA-AC-A23H-01	TCGA-AC-A23H-01	Primary Tumor	0.9157	0.3859	-0.08994	0.2662	2.501	0.708	1.16	-0.007918	4.452	-0.2533	0.05745	9.487	-0.5754	0.4024
